feature,importance_mean,importance_std
glucose_mg_dl,0.07025590048612693,0.0064770036148993435
fasting_glucose_mg_dl,0.06583211201113866,0.005897350527466012
global_vasoreactivity,0.0483302464294645,0.0055899146324535805
daytime_sbp,0.04747927629901253,0.005335402423547585
wmh_registered_masked,0.040369558684029694,0.002993480053179176
wmh_registered,0.03903698282515103,0.0035857104243905242
ldl_calc_mg_dl,0.03712226427105548,0.004436944725583176
svcam_ng_ml,0.03621812976908748,0.0029117068793784073
perfusion_whole_brain_baseline_whole,0.03288259262379488,0.00411241279205483
mass_kg,0.030723231626023813,0.003941476313179345
nighttime_sbp,0.03067754738226332,0.0035931671309703903
perfusion_lepto_pca_baseline_whole,0.030190170999265336,0.003236456075561511
global_wm_vol,0.028527811676252474,0.0031002497512294842
global_gm_icv,0.026253639269066275,0.003445031093155852
nighttime_dbp,0.02534676129390236,0.0036085032829918273
daytime_dbp,0.02366870309751791,0.0030697382833988636
perfusion_aca_baseline_whole,0.023300163040026946,0.0032853542914184504
global_gm_vol,0.02186440757302587,0.004170759523598612
gait_walk1_speed_m_s,0.021670719569969125,0.0023766536383271453
perfusion_mca_baseline_whole,0.021358790464535832,0.0030100299096450294
hdl_mg_dl,0.02113198282990469,0.0029330016000645035
sicam_pg_ml,0.02071066346868055,0.0034704649714705897
global_intracranial_vol_ml,0.020422316780306343,0.0021260699348148
insulin_uiu_ml,0.0198294434685764,0.002639845441242126
cholesterol_mg_dl,0.019727503508809592,0.002754969826565076
crp_mg_l,0.019697111146831633,0.002665782781485091
bmi,0.0193208137080079,0.0026512307392986406
hba1c_percent,0.019284777223728393,0.0027722765774186946
height_m,0.019134057214358575,0.0030282218206306457
global_csf_icv,0.019037323564618104,0.0028927075070239736
global_csf_vol,0.018407329724482568,0.0030103153555311526
wbc_k_ul,0.01762927921705045,0.0025375429398825982
gait_dual_task_distance_m,0.016080126443494366,0.002238904037623144
gait_dual_task_speed_m_s,0.014703042640951305,0.003467794494123793
global_wm_icv,0.013559730076857512,0.0026712809017526845
diabetes_duration,0.009640241415181846,0.0024714371018103505
htn_status_ntn,0.004310828909159369,0.0009748275769366096
diabetes_duration_missing,0.0019814111428610405,0.0005546669466238491
group_DM,0.0017885734318329853,0.0007562192276047674
race_White,0.0014288498792072008,0.0007008638437768481
insulin_yes_no_Y,0.001065584814388742,0.0005879465178081808
race_Other,0.0,0.0
race_Latino,0.0,0.0
